"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Product Type","Expiry Date","Approval Class","PIN Support","Key Management","Prompt Control","PIN Entry Technology","Functions Provided","not_marketed"
"Castles Technology Co. Ltd","UPT1000F","UPT1000F-HW-V1.01.xxxx","xxxx-xxxx-xxxx-xxxx-0027","","4-80031","5.x","OEM PED","30 Apr 2026","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","SATURN1000","SATURN1000-HW-V1.01.xxxx","1.1.1.xxxxxx","","4-80033","5.x","PED","30 Apr 2026","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","VEGA3000 UltraLite","VEGA3000-UL-HW-V1.02.xxxx, VEGA3000-UL-HW-V1.03.xxxx","001x-001x-002x-K01x","VR0A001x","4-80034","3.x","KLD","30 Apr 2026","KLD","N/A","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,CTLS","0"
"CCV Deutschland GmbH","Vx825","M283-70x-xx-xxx-3","QT825240.xxxxxxxx","VxSec 10.01,VxSec 11.xx","4-30193","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"CCV Deutschland GmbH","CCV OPM-C60","Non PED:	OPM-C60-xxx-xxx-02, CR1:	SCR-B xxx-05, SCR-B xxx-06, SCR-B xxx-09, CR2:	COR A10-x0x-xxx-01, CR3:	COR A12-x0x-xxx-01, CR4:	COR A20-x0x-xxx-01, CR5:	SCR-C-xxx-xxx-01, CR6: CCV SCR-C60-xxx-B02-02, CR7: CCV SCR-C60-xxx-B03-02, CR8: CCV SCR-C60-xxx-B04-02","SRED (CTLS): PAL Version 01, Linux 2.6.38.8, U-Boot 2011.06, Init 1.5, MSP 3.45, DM 01, EMV 02, SCM 01, CR1: SECposII_sec 01.00, CR2: COR 1.00, CR3: COR 1.00, CR4: COR 1.00, Non PED:	PAL Version 02, DM 02, SCM 02, CR5:	COR 1.00, CR6: COR 1.00, CR7: COR 1.00, CR8: COR 1.00","","4-20256","3.x","OEM Non PED","30 Apr 2020","Non PED","N/A","Fixed,MK/SK,DUKPT","N/A","N/A","ICCR,MSR,CTLS,OP,SRED","0"
"CCV Deutschland GmbH","CCV OPP-C60","PED:	OPP-C60-xxx-xxx-02, CR1:	SCR-B xxx-05, SCR-B xxx-06, SCR-B xxx-09, CR2:	862-HW v01-XoZ, 862-HW v01-X1Z, CR3:	COR A10-x0x-xxx-01, CR4:	COR A12-x0x-xxx-01, CR5:	COR A20-x0x-xxx-01, CR6:	SCR-C-xxx-xxx-01, CR7: SCR-C60-xxx-B02-02, CR8: SCR-C60-xxx-B03-02, CR9: SCR-C60-xxx-B04-02","PED:	PAL Version 01, Linux 2.6.38.8, U-Boot 2011.06, Init 1.5, MSP 3.45, DM 01, EMV 02, SCM 01, CR1:	SECposII_sec  01.00, CR2:	02VV.XX, CR3:	COR 1.00, CR4:	COR 1.00, CR5:	COR 1.00, PED:	PAL Version 02, DM 02, SCM 02, CR6:	COR 1.00, CR7: COR 1.00, CR8: COR 1.00, CR9: COR 1.00","","4-20225","3.x","OEM PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"CCV Deutschland GmbH","CCV OPM-C60","Non PED: OPM-C60-xxx-xxx-02, CR1: SCR-B xxx-05, SCR-B xxx-06, SCR-B xxx-09, CR2:	COR A10-x0x-xxx-01, CR3:	COR A12-x0x-xxx-01, CR4:	COR A20-x0x-xxx-01, CR5:	 SCR-C-xxx-xxx-01, CR6: CCV SCR-C60-xxx-B02-02, CR7: CCV SCR-C60-xxx-B03-02, CR8: CCV SCR-C60-xxx-B04-02","[Variant 1], Non PED:	Linux 2.6.38.8, U-Boot 2011.06, Init 0001.08, MSP 0003.45, PAL 0012.05, SCM 0012.05, DM 0012.05, VX DM 1.0, RIO2RMI 1.0, VXTREE 1.0, C-TAP (EMV) 09.41, SRED APP 09.41, CR1:	0210, [Variant 2], PED:	Linux 2.6.38.8, Init 0001.15, PAL 0013.00, SCM 0013.00, DM 0013.00, LOTUS  1.0, PAM 1.1, C-TAP (EMV) 1.0, SRED 1.0, CR1:	0231, CR2:	1.01, CR3:	1.01, CR4:	1.01, [Variant 3], Init 0001.19, PAL 0014.01, SCM 0014.01, DM 0014.01, LOTUS  1.1, PAM 1.2, C-TAP (EMV) 1.1, CR5:	1.01, PED: Linux 2.6.38.8, LOTUS 1.1, CR1: 0231, CR2: 1.01, CR3: 1.01, CR4: 1.01, CR5: 1.01, CR6: 1.01, CR7: 1.01, CR8: 1.01","","4-20254","3.x","OEM Non PED","30 Apr 2020","Non PED","N/A","DUKPT","N/A","N/A","ICCR,MSR,CTLS,OP,SRED","0"
"CCV Deutschland GmbH","CCV OPP-C60","[Variant 1], PED: OPP-C60-xxx-xxx-02;, CR1: SCR-B xxx-05, SCR-B xxx-06; SCR-B xxx-09; CR2: COR A10-x0x-xxx-01;, CR3: COR A12-x0x-xxx-01;, CR4: COR A20-x0x-xxx-01;, CR5:	SCR-C-xxx-xxx-01;, CR6: SCR-C60-xxx-B02-02, CR7: SCR-C60-xxx-B03-02, CR8: SCR-C60-xxx-B04-02","[Variant 1], PED: Linux 2.6.38.8; U-Boot 2011.06; Init 0001.08; MSP 0003.45; PAL 0012.05; SCM 0012.05; DM 0012.05; VX DM 1.0; RIO2RMI 1.0; VXTREE 1.0; C-TAP (EMV) 09.41; SRED APP 09.41;, CR1: 0210;, [Variant 2], PED: Linux 2.6.38.8; U-Boot 2011.06; Init 0001.15; MSP 0003.45; PAL 0013.00; SCM 0013.00; DM 0013.00; LOTUS 1.0; PAM 1.1; C-TAP (EMV) 1.0; SRED 1.0;, CR1: 0231;, CR2: 1.01;, CR3: 1.01;, CR4: 1.01;, [Variant 3], PED: Linux 2.6.38.8; U-Boot 2011.06; Init 0001.19; MSP 0003.45; PAL 0014.01; SCM 0014.01; DM 0014.01; LOTUS  1.1; PAM 1.2; C-TAP (EMV) 1.1; SRED 1.0;, CR1:        0231;, CR2:        1.01;, CR3:        1.01;, CR4:        1.01;, CR5:        1.01;, PED: Linux 2.6.38.8, U-Boot 2011.06, Init 0001.19, MSP 0003.45, PAL 0014.01, SCM 0014.01, DM 0014.01, LOTUS 1.1, PAM 1.2, C-TAP (EMV) 1.1, SRED 1.0, CR1: 0231, CR2: 1.01, CR3: 1.01, CR4: 1.01, CR5: 1.01, CR6: 1.01, CR7: 1.01, CR8: 1.01","","4-20258","3.x","OEM PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"CCV Deutschland GmbH","Vx680","M268-70x-xx-xxn-3, M268-73x-xx-xxn-3, M268-74x-xx-xxn-3, M268-76x-xx-xxn-3, M268-77x-xx-xxn-3, M268-78x-xx-xxn-3, M268-79x-xx-xxn-3, M268-77x-xx-xxx-3B, M268-72x-xx-xxx-3, M268-72x-xx-xxx-3B","Non SRED: QT68x01D, QT680006, QT680010, QT680011, QT680012, QT680013, QT680014, QT680015, QT6B0015, QT6B0016, QT6B0017, QT6B0018, QT6B0019, QT6B0101, QT6B0102, QT6B0103, QT6B0104, SRED: QT680101, QT680102, QT680103, QT680104, QT680105, QT680106, QT680107, QT680108, QT680109, QT6G0109, QT680110, QT6G0110, QT6B0110, QT680111, QT6G0111, QT6B0111, QT680122, QT6G0122, QT6G0113, QT6G0114, QT6G0115, QT680120, QT6B0120, QT6G0240, QT680240, QT6B0240, QT680340, QT6G0340, QT6B0340, QT680301, QT6B0301, QT6B0121, QT6B0122, QT680243, QT6B0243, QT680241, QT680245, QT6B0245, QT6G0245, QT680240.xxxxxxxx, QT6B0240.xxxxxxxx, QT6G0240.xxxxxxxx, QTyy0400.xxxxxxxx, QTyy0500.xxxxxxxx, QTyy520.xxxxxxxx, QTyy0530.xxxxxxxx, OP: 2.x.x","VxSec 10.01, VxSec11.xx,VxSec 12.x.x, VxMain 12.x.x","4-30191","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"CCV Deutschland GmbH","Vx820","M282-XXX-XX-XXX-3","Non-SRED: QT820010, QT820011, QT820012, QT820013, QT820014, QT820015, QT820016, SRED: QT820104, QT820106, QT820107, QT820109, QT820110, QT820111, QT820112, QT820113, QT820120, QT820121, QT820201, QT820240, QT820340, QT820301, QT820242, QT820241, QT820243, QT820244, QT820245, QT820240.xxxxxxxx, QT820246.xxxxxxxx, QTyy0400.xxxxxxxx, QTyy0500.xxxxxxxx, QTyy520.xxxxxxxx, QTyy0530.xxxxxxxx, OP: 2.x.x","VxSec 10.01, VxSec11.xx,VxSec 12.x.x, VxMain 12.x.x","4-30192","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
