"company","website","product name","email","locations served","certificate number"
"LE Global Services Sdn. Bhd.","www.le-global.com","LGMS PCI ASV Scan and VAPT","asv@le-global.com","Global"," 5040-01-07"
"Masergy Communications, Inc.","www.masergy.com","PCI Compliance Professional Services 2017","pci@masergy.com","Global"," 3841-01-12"
"Megaplanit, LLC","www.megaplanit.com","MegaplanIT MegaScanner","DominickV@megaplanit.com","Global"," 5067-01-03"
"Merchant Preservation Services, LLC d/b/a CampusGuard","www.campusguard.com","MerchantGuard","info@campusguard.com","Global"," 5016-01-08"
"Mnemonic","www.mnemonic.no","mnemonic PCI scan","pci@mnemonic.no","Europe"," 3891-01-12"
"MNP LLP","www.nci.ca","MNP ASV Scanning","pci-info@nci.ca","Canada"," 4248-01-11"
"Moss Adams LLP","www.mossadams.com","Moss Adams ASV Service","Francis.tam@mossadams.com","North America"," 5054-01-06"
"MWR Infosecurity","www.mwrinfosecurity.com","Managed Scanning Service","pci@mwrinfosecurity.com","Global"," 3961-01-11"
"NCC Group PLC","www.nccgroup.com","NCC Group - Managed Vulnerability Scanning Services - PCI ASV","asv.support@nccgroup.com","Global"," 3928-01-12"
"Netcraft Ltd","www.netcraft.com","Audited By Netcraft","security@netcraft.com","Global"," 3902-01-12"
"Nettitude Ltd.","www.nettitude.com","Nettitude ASV Scanning Solution (2018)","solutions@nettitude.com","Global"," 4251-01-11"
"NMi Metrology and Gaming Limited","www.nmi-gaming.com/","NMi PCI ASV Scan Solution","cajones@nmi.uk.com","Global"," 5088-01-01"
"NRI Secure Technologies LTD","www.nri-secure.co.jp/","PCI DSS Scanning Service","pci-asv@nri-secure.co.jp","Global"," 5007-01-10"
"nSense ApS","www.nsense.net","F-Secure Radar","pci@nsense.net","Scandinavia"," 3889-01-12"
"NTA Monitor Limited","www.nta-monitor.com","PCI Compliance Assessment 2017","sales@nta-monitor.com","UK, Europe, Middle East, Asia Pacific (including India), Australia, Malaysia, Global"," 4183-01-11"
"NTT Data Intellilink Corporation","www.intellilink.co.jp/","PCI DSS Scanning Service -NinjaSCAN-","pci@intellilink.co.jp","Asia Pacific"," 3731-01-12"
"NTT Security (US) Inc.","www.nttsecurity.com","mEVS (Managed External Vulnerability Scanning)","us-info@nttsecurity.com","Global"," 3734-01-11"
"NTT Security (US) Inc.","www.nttsecurity.com","ASV Scan Service","us-info@nttsecurity.com","Global"," 5069-01-04"
"NuArx, Inc.","www.nuarxinc.com","Managed ASV Compliance","srinivass@nuarxinc.com","Global"," 5042-01-07"
"Odyssey Consultants Limited","www.odysseyconsultants.com","IthacaLabs PCI Scanning Service","info@odysseyconsultants.com","Global"," 5062-01-05"
"Optiv Security Inc.","www.optiv.com","Optiv ASV Scanning Portal","info@optiv.com","Global"," 4190-01-12"
"Outpost24 AB","www.outpost24.com","OUTSCAN PCI","sdp@outpost24.com","Global"," 4047-01-12"
"Paladion Networks Private LTD","www.paladion.net","PCI ASV CC Scan Solution 2017-ReAttempt","sales@paladion.net, plynt@plynt.com","Global"," 5004-01-09"
"Payment Software Company (PSC)","www.paysw.com","PSC Security Scanning Service","Tony@Paysw.com","Global"," 3805-01-12"
"Primeon, Inc.","","PCI ASV Compliance Testing Services","Mpettiglio@primeon.com","Global"," 5071-01-03"
"ProCheckUp Ltd","www.procheckup.com","2017_ Requal","pci@procheckup.com","Global"," 3748-01-12"
"Protiviti","www.protiviti.com","Protiviti ASV 2018","pcipoc@protiviti.com","Global"," 3795-01-12"
"Qualys","www.qualys.com","Qualys PCI","sdp@qualys.com","Global"," 3728-01-12"
"Rapid7 LLC","www.rapid7.com/solutions/compliance/pci.jsp","Perimeter Scanning Service","sales@rapid7.com","Global"," 3906-01-19"
"RiskSense Inc.","www.risksense.com","RiskSense PCI ASV 2017 Solution","mark.fidel@risksense.com","North America, Europe"," 5077-01-02"
"RSI Systems Inc.","www.rsisecurity.com","RSI ASV 2017-2018 Retest","info@rsisecurity.com","Global"," 5070-01-03"
"RSM US LLP","www.mcgladrey.com","StateScan Requalification 2017","autumn.hurley@rsmus.com","Global"," 4065-01-12"
"RSM US LLP","www.mcgladrey.com","RSM US LLP PCI ASV","autumn.hurley@rsmus.com","Global"," 3788-01-11"
"S21SEC Gestion, S.A.","www.s21sec.com","PCI Renovation 2017","asv@s21sec.com","Global"," 3896-01-12"
"Saint Corporation","www.saintcorporation.com","SAINTscanner","sales@saintcorporation.com","Global"," 4268-01-10"
"SC2Labs","www.sc2labs.com","SC2labs Scan 2018","info@sc2labs.com","Global"," 5038-01-08"
"Sec-1 Ltd.","www.sec-1.com","AppCheck NG","pci@sec-1.com","Global"," 5066-01-04"
"SecureWorks, Inc.","www.secureworks.com","Managed Vulnerability Services - PCI","info@secureworks.com","Global"," 3761-02-10"
"SecurityMetrics, Inc.","www.securitymetrics.com","SecurityMetrics ASV Scan","pci@securitymetrics.com","Global"," 3707-01-13"
"SensePost","www.sensepost.com","BroadView","pci@sensepost.com","Global"," 4239-01-11"
"Sikich LLP","www.sikich.com","PCI Compliance Vulnerability Scanning","securitysales@sikich.com","Global"," 4038-01-11"
"SISA","www.sisainfosec.com","SISA Securescan","sales@sisainfosec.com","Global"," 5005-01-10"
"Specialized Security Services, Inc.","www.s3security.com","2018 S3 ASV Scanning Solution","mitchelle@s3security.com","North America, Europe"," 3765-01-11"
"SRC Security Research & Consulting GmbH","www.src-gmbh.de","SRC PCI ASV Service","sdpais@src-gmbh.de","Global"," 3704-01-12"
"Stach & Liu dba Bishop Fox","www.stachliu.com","2018 Requalification","NWalker@bishopfox.com","Global"," 5046-01-07"
"SureCloud","www.surecloud.com","SureCloud PCI ASV Scan Manager","sales@surecloud.com","Global"," 4280-01-10"
"Sysnet Limited, dba Sysnet Global Solutions","www.sysnetgs.com","ScanManagementSystem","consulting@sysnetgs.com","Global"," 3937-01-11"
"Sysnet Limited, dba Sysnet Global Solutions","www.sysnetgs.com","Sysnet R&A Solution","consulting@sysnetgs.com","Global"," 5076-01-03"
"SySS GmbH","www.syss.de","SySS PCI Solution","pci@syss.de","Global"," 5080-01-02"
"TBG Security, Inc.","tbgsecurity.com","TBGScan","scanning@tbgsec.com","Global"," 5068-01-03"
"Tech Lock Incorporated","www.techlockinc.com","TECH LOCK 2017 ASV Solution 1","security@techlockinc.com","Global"," 5013-01-08"
"Tekmark Global Solutions","www.teksecurelabs.com","Tek+Detect 2018","tekdetect@teksecurelabs.com","Global"," 3894-01-12"
"Tenable Network Security","www.tenable.com","Tenable.io","subscriptions@tenable.com","Global"," 5049-01-06"
"The Herjavec Group Inc.","www.herjavecgroup.com","HG ASV Solution 2017","info@herjavecgroup.com","Global"," 4154-01-11"
"TIS Inc","www.tis.jp/service_solution/en_pci/","TIS ASG","sec_audit@ml.tis.co.jp","Japan"," 5026-01-07"
"Tripwire, Inc.","www.tripwire.com/","IP360 8.1","TW-nCirclepci@tripwire.com","Global"," 4175-01-11"
"TrustedSite LLC","www.mcafeesecure.com/pci-compliance","TrustedSiteReport","support@trustedsite.com","Global"," 5078-01-02"
"Trustwave Holdings, Inc.","www.trustwave.com","Trustwave Trustkeeper - Yearly Test 2017","info@trustwave.com","Global"," 3702-01-12"
"TUV SUD Sec-IT GmbH","www.tuev-sued.de/management-systeme/it-dienstleistungen/pci-zertifizierung","TUV SUD PCI Compliance Services - SecurityScan","pci@tuev-sued.de","Global"," 3796-01-12"
"UBsecure, Inc.","www.ubsecure.jp/","PCI DSS ASV Scanning Service","sales@ubsecure.jp","Asia Pacific"," 5085-01-01"
"usd AG","pci.usd.de","usd PCI DSS Platform","pci@usd.de","Global"," 3999-01-12"

