"company","website","place of business","primary contact","servicing markets","supported languages"	
"Anitian Corporation","www.anitian.com","USA","Andrew Plato  Andrew.plato@anitian.com T  503-644-5656  x16","USA","English"
"Aperia Solutions","www.aperiasolutions.com","USA","Breon Doss bdoss@aperiasolutions.com T+1-469-443-3282","USA","English"
"Apersky Consulting LLC","www.apersky.com","Hungary","Csaba Gaspar pci@apersky.com T- 36-70-421-0247","CEMEA, Europe","English, Hungarian"
"Applied Trust Engineering","www.atrust.com","USA","Ned McClain ned@atrust.com T- 1-303-245-4505","USA","English"
"AppSec Consulting","www.appsecconsulting.com","USA","Brian Bertacini brian@appsecconsulting.com T- 408-723-1960","USA","English"
"Aprio, LLP","www.hawcpa.com","USA","Dan Schroeder dan.schroeder@aprio.com T-770-353-8379","USA","English"
"Ascentor Ltd. Plc.","www.ascentor.co.uk","UK","Dave James dave.james@ascentor.co.uk T- 44-(0)1452881712","Europe","Arabic, English, French, German"
"ASR.Co., LTD","www.armsr.co.jp","Japan","Hironori Nishiyama toiawase@armsr.co.jp T- 81-3-3666-8757","Japan","Japanese"
"Astadia, Inc.","www.astadia.com","USA","William Hurley William.Hurley@astadia.com T 603.324.1106","USA","English, Malayalam, Tamil, Telugu"
"AT&T Consulting Solutions","www.corp.att.com/consulting","Australia, UK, USA","Richard Nadzam(USA)  PCI@ATT.COM T (408) 223-5196","Europe, LAC, USA, CEMEA","English, Spanish, French, Chinese (Mandarin), Dutch, German, Serbian, Croatian, Montenegro, Bosnian, Herzegovina, Macedonian, Slovenian, Hebrew"
"Ather Technology Limited dba Cianaa Technology","www.cianaatech.com","Saudi Arabia, New Zealand","Rizwan Ahmad r.ahmad@cianaatech.com T++966-11-4631208 (Saudia) T+6493904252 (New Zealand)","New Zealand, CEMEA","Arabic, English"
"Atos Consulting","www.atos.net","UK, Spain, Malaysia","Tim Gillott PCI-DSS@atos.net  T: +447733 303172","Europe","English, Spanish"
"atsec (Beijing) Information Technology Co., Ltd","www.atsec.com","China, Germany, Sweden, USA","Yan Liu  yan@atsec.com T- 86-10-8289-3001","Europe, USA, Asia Pacific","Chinese, English"
"Attack Research","www.attackresearch.com","USA","Isabel Raven belraven@attackresearch.com T-505-629-5032","USA","English"
"Auditwerx, LLC","www.auditwerx.com","USA","Stacy Martin smartin@auditwerx.com T 813 207 2907","Canada, USA","English"
"Avnet Information Security Ltd.","www.avnet.co.il","Israel","Yaki Zimmerman yaki@avnet.co.il T-03-9560074","Europe","English, Hebrew"
"BAE Systems Applied Intelligence PTY Limited","www.baesystems.com/businessdefence","Australia","Svetlana Mahajan svetlana.mahajan@baesystems.com","Asia Pacific","Arabic, Cantonese, English, Finnish, French, Indonesian, Hakka (spoken only), Mandarin, Polish, Russian, Swedish"
"BAE Systems Applied Intelligence US Corp.","www.perimeterusa.com","USA","Jeff Jackson jeff.jackson@baesystems.com  T-1-919-228-2525","USA","English"
"BDO LLP","www.bdo.co.UK","UK","Omer Tariq omer.tariq@bdo.co.uk  T-44 (0)20 7893 3722","Europe","English"
"BDO USA, LLP","www.bdo.com","USA","Fred Brantner fbrantner@bdo.com T: (952) 853-5829","USA","English, Spanish"
"Beijing Secspace Technology Co. LTD","www.secspace.com","China","Fang Wu fangwu@secspace.com T- 0086-010-59433750","Asia Pacific","Chinese, English"
"Beijing UGTech Co. Ltd.","www.ugtech.com.cn","China","He Wang wanghe@ugtech.com.cn  T+86-10-51626923","China","Chinese, English"
"Beijing Unionpay Card Technology Co. LTD","www.bctest.com","China","Shaopeng Liu Liu.sp@bctest.com T-86-10-5226-6902","China","Chinese (Mandarin), English"
"Beijing Zhihuiyunce Technology Co., LTD.","www.dplslab.com","China","Tianning Huang huangtn@dplslab.com T: +86 10 60801697","China","Chinese, English"
"Bell Canada","www.bell.ca","Canada","Marie.Babineau marie.babineau@bell.ca T: 514-870-3077","Canada","English, French"
"Berkeley Research Group, LLC","","USA","Richard Peters rpeters@brg-expert.com T- 713-493-2545","USA","English, Spanish"
"Biznet Bilisim Sistemleri A.S","www.biznet.com.tr","Turkey","Sefa Karabulut sefa.karabulut@biznet.com.tr","CEMEA, Europe","English, Turkish"
"Bl4ckswan S.r.l.","www.bl4ckswan.com","Italy","Francesco Morini pci-dss@Bl4ckswan.com T+39 3271959944","Europe","English, French, Italian, Spanish"
"Black Hills Information Security","www.blackhillsinfosec.com","USA","Sally Vandeven qsa@blackhillsinfosec.com T: 701-484-BHIS (2447)","USA","Dutch, English, Russian"
"Blackfoot UK Ltd.","www.BlackfootUK.com","UK","Alex Dewar QSA@BlackfootUK.com T- 44 07720 638395","Europe","English"
"BMS Consulting LLC","www.bms-consulting.com","Ukraine","Dmitriy Petrashchuk qsa@bms-consulting.com +380 44 499-6969","Europe, CEMEA","English, Russian, Ukrainian"
"Bonadio & Co. LLP","www.bonadio.com","USA","Charlie Wood cwood@bonadio.com 1-585-249-2757","USA","English"
"Bravecraft (Pty) Ltd","www.bravecraft.net","South Africa","Pieter van Niekerk  Pieter@bravecraft.net Office +27 12661-5472 Mobile +27(0)82 824 5709","CEMEA","English"
"BroadBand Security, Inc. (BBSec)","www.bbsec.co.jp","Japan, South Korea","Takafumi Shido (Japan)  qsa@bbsec.co.jp  T+81-3-5338-7417  Park Jae Bum (South Korea) pcidss@bbsec.co.kr  T+82-2-2008-4640","Europe, USA, Asia Pacific","Japanese, English, Korean, French"
"Brown Smith Wallace, LLC","www.bswllc.com","USA","Bill Gogel 314.983.1363 BGogel@bswllc.com","USA","English"
"BSI Group Japan K.K.","www.bsigroup.jp/","Japan","Takanobu Minami Takanobu.minami@bsigroup.com 81 3 6844 3889","Asia Pacific","Japanese, English, Korean, Chinese"
"BT Plc.","www.bt.com","UK","Sarah Nicholson sarah.l.nicholson@bt.com T- +447918 678820","CEMEA, Europe, LAC, USA","English"
"Cadence Assurance, an affiliate of The Cadence Group","www.thecadencegroup.com","USA","Kevin Abbott kevin@thecadencegroup.com T-801-358-5748","LAC, USA","English"
"Cadre Computer Resources","www.cadre.net","USA","Paul Griggs Paul.griggs@cadre.net  T  (513) 762-6420","USA","English"
"Card Security LLC","www.cardsec.ru","Russia","Alexey Bochkarev  contact@cardsec.ru  + 7 (495) 204-20-88 ext. 100","CEMEA","English, Russian"
"Cautela Labs, Inc.","www.cautelalabs.com","USA","Nancy Wilson nancy.wilson@cautelalabs.com T-602-687-4420 x5333","USA","English"
"CBIZ Security & Advisory Services, LLC","www.cbiz.com","USA","Karen Cassella kcassella@cbiz.com T-901-842-2859","USA","English, Spanish"
"Certify Audit Services, Inc.","www.certifyauditservices.com","USA","Joeseph O'Connor joe@certifyauditservices.com T-301-279-0581","USA","English"
"CIPHER","www.cipher.com","Brazil, UK, USA","Europe  contact@cipher.com  T +44 203 580 4321  Latin America  contato@cipher.com  T +55 11 4501 6600","Europe, LAC","English, Portuguese, Spanish"
"CipherTechs","www.ciphertechs.com","USA","Mike Quattrochi mike@ciphertechs.com 212-897-6900","USA","English"
"Cisco Systems, Inc.","www.Cisco.com","USA","Paolo Notarianni (UK and Europe) pnotaria@cisco.com T: +44 02088680098  Patrick Harbauer (USA and Canada) pharbaue@cisco.com T: +1 847 678 5738","Canada, Europe, USA","English"
"CliftonLarsonAllen LLP","www.larsonallen.com","USA","Randy Romes  T-1-612-397-3114 rromes@cliftonlarsonallen.com","USA","English"
"Coalfire Systems, Inc","www.coalfiresystems.com","USA, LAC, UK","Adam Shnider ashnider@coalfire.com T 206-352-6028  Andrew Barratt (Europe) abarratt@coalfire.com T+44 161 464 6301","Asia Pacific, Canada, Europe, LAC, USA","English, Hindi, Russian, Spanish, Ukranian"
"Cognit Consult, UAB","www.cognitconsult.net","Lithuania","Laurynas Cukuras lcu@cognitconsult.net 370655 95215","Europe","English, Lithuanian, Russian, Latvian"
"Cognosec GmbH","www.cognosec.com","Austria","Ilknur Topcu qsa@cognosec.com T-+43 664 8873 4019","CEMEA, USA, Europe","English, German, French, Spanish, Swedish, Turkish, Indian, Croatian"
"Combitech AB","www.combitech.se","Sweden","Jimmy Haeggström,   jimmy.haeggstrom@combitech.se +46 73 374 84 18","Europe","English, Swedish"
"Compass IT Compliance, LLC","www.CompassITC.com","USA","Jerry Hughes jhughes@CompassITC.com T: (888) 254-2482","USA","English, Spanish"
"Compliance Control Ltd.","www.compliance-control.ru","Russia, Ukraine, Estonia","Evgeny Babitskiy (Russia) evgeny@compliance-control.ru +7 (499) 390-2098  Mikhail Magun (Ukraine) mmagun@compliance-control.com.ua +38 (067) 239-0414  Ivan Tverdokhlebov (Estonia) info@compliance-control.ru +7 (926) 576-7095","Europe, CEMEA","English, Russian, Ukranian"
"CompliancePoint, Inc.","www.compliancepoint.com","USA","Jeff Brown  qsa@compliancepoint.com T- +1 678-287-7744","USA","English, Japanese, Spanish"
"Comsec","www.comsecglobal.com","Europe, Israel, Germany, Italy, Netherlands, Poland, Turkey, UK","PCI@comsecglobal.com (Europe and Israel) T +972-3-923 4646  PCI@comsecglobal.nl]PCI@comsecglobal.nl  (Netherlands) T +31-10-288 1010   PCI@comsecglobal.com (UK) T +44 (0) 2034638727   PCI@comsecglobal.com (Turkey) T +90 216 606 26 72","USA, Europe","Dutch, English, Hebrew, Portuguese, Russian, French, Italian, Polish"
"Confide Limited","www.confide.co.nz","New Zealand","Kyle Gibson Kyle.gibson@confide.co.nz +64 21 595 344","Asia Pacific, Europe, USA, New Zealand","English"
"Content Security","www.contentsecurity.com.au","Australia","Matthew Strahan info@contentsecurity.com.au T-61-2-9099-0686","Australia","English"
"Contextual Security Solutions, LLC","www.contextualsecurity.com","USA","Kevin Thomas Kevin.Thomas@Contextualsecurity.com T-865-898-1362","Canada, USA","English"
"Continuum Worldwide","www.continuumww.com","USA","Chris Hoke Chris.Hoke@continuumww.com T-402-916-1827","USA","English"
"Control Gap","www.controlgap.com","Canada","Bruce Duff pci@controlgap.com T  1-866-644-8808","Canada","English"
"ControlCase, LLC","www.controlcase.com","Dubai, India, Kuwait, USA, UK, Saudi Arabia, Japan, Europe, Philippines, Malaysia, Indonesia, Egypt, UAE, Qatar, Asia Pacific, CEMEA, Vietnam, England, Ireland, Turkey, Croatia, Sweden, Canada, Colombia","Kishor Vaswani (USA)  kvaswani@controlcase.com  T - +1.703.483.6383  Erik Winkler (United Kingdom) ewinkler@controlcase.com T - +44 (0) 7469249831 Kim Simon (Canada) ksimon@controlcase.com T  1 416 900 1272 Andres Gutierrez (Colombia/Latin America)  agutierrez@controlcase.com  T: +57-13816834 Suresh Dadlani (Asia Pacific &amp; CEMEA)  sdadlani@controlcase.com  T: +91-22-71279034     Afy Merchant (UAE, GCC)  amerchant@controlcase.com  T - +971.508.760.981  Nobuyuki Yagi (Japan)  nyagi@controlcase.com  +81-3-4321-5504  Rukman Suriawarsita (Indonesia)  rsuriawarsita@controlcase.com  T: +62-21-51111817  Mostafa Ibrahim (Egypt)  mibrahim@controlcase.com  T: +20168843998  Tran Ha Quynh Dao (Vietnam, Cambodia &amp; Laos)  dao@controlcase.com  T : (+84) 979 710 906  Timal Jayamanne (Sri Lanka, Nepal, Maldives, Myanmar)  tjayamanne@controlcase.com  T +94777377107  Mitch Mascardo (Manila, Philippines)  mmascardo@controlcase.com  T: +63.2.7591445     Karolien Holsters (Netherlands, Belgium, Spain, France, Luxembourg) kholsters@controlcase.com  Netherlands : +31-858887600  Belgium : +32-78480234  Spain: +34-911238404  France: +33-975181681  Luxemburg: +352-20881406  Biju John (Kuwait)  bjohn@controlcase.com  +965.99768639  Stevie Heong (Malaysia)   sheong@controlcase.com +60.392121712  Kleber Melo (Brazil)  kmelo@controlcase.com  T: +55.1135005856","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","Arabic, English, Japanese, Spanish, Hindi, Korean, Russian, Chinese, Dutch, French, German"
"ControlScan","www.controlscan.com","USA","Mark Punzirudu mpunzirudu@controlscan.com  T 800-825-3301","USA","English, Spanish"
"Convergent Network Solutions, Ltd","www.cnsgroup.co.uk","UK","Kevin Dowd kevin.dowd@cnsgroup.co.uk T  +44 207 592 8800","CEMEA, Europe","English"
"CQR Consulting Australia PTY","www.cqrconsulting.com","Australia","Lee Smith  Lee.Smith@cqr.com T-1300 277 001","Australia","English"
"Crimson Security, Inc.","www.crimsonsecurityinc.com","USA","Narender Mangalam 917-763-5717 narender.mangalam@crimsonsecurityinc.com","Canada, Europe, LAC, Philippines, USA","English"
"Critical Start LLC","www.criticalstart.com","USA","Noah Weisberger noah@criticalstart.com T- 303-875-1343","USA","English"
"Crossbow Labs LLP","www.crossbowlabs.com","India, Australia, Bahrain, Bangladesh, Central Europe, China, Eastern Europe, Egypt, Hong Kong, Indonesia, Japan, Kenya, Kuwait, Malaysia, Morocco, Nepal, New Zealand, Nigeria, Oman, Philippines, Qatar, Russia, Saudi Arabia, Singapore, South Africa, Sri Lanka, Thailand, UAE, USA, Vietnam","Deepak Umapathy (USA)  explore@crossbowlabs.com T +1 650 618 9862  Varun Prashant (UAE, Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, South Africa, Egypt, Morocoo) explore@crossbowlabs.com T- Bahrain: +973 161 966 78  Suryaji Bhosale(India, Sri Lanka, Nepal, Bangladesh)  explore@crossbowlabs.com T+91 80 395 91595   Rosan Thomas (Australia, China, Cambodia, Indonesia, Japan, Malaysia, New Zealand, Philippines, Singapore, Thailand, Vietnam, South Korea and Hong Kong)  T-Singapore: +65 315 877 55  Email: explore@crossbowlabs.com","Asia Pacific, CEMEA","English, Hindi, Malayalam, Marathi, Tamil"
"Crosslin Technologies","www.crosslinpc.com","USA","Justin Crosslin Justin.Crosslin@crosslinpc.com T- 615-320-5500","USA","English, Spanish"
"CrowdStrike Services, Inc.","www.crowdstrike.com","USA","Matt Churchill matt.churchill@crowdstrike.com  T- 402.278.0346","USA","English"
"Crowe Horwath LLP","www.crowehorwath.com","USA","Craig D. Sullivan PCI.Services@CroweHorwath.com    574.236.7618","Asia Pacific, CEMEA, LAC, USA","English"
"CryptoNet Srl","www.cryptonet.it","Italy","Stefano Taino stefano.taino@cryptonet.it T: +39 335 354 508","Europe","English, Italian"
"Cybercom Group","www.cybercomgroup.com","Sweden","Fredrik G Johansson Fredrik.G.Johansson@cybercom.com  T: +46-72-519-5520","CEMEA, Europe","English, Swedish, Danish, German, Polish, Russian"
"Cyberensure","www.cyberensure.com","USA","Harry Zwiselsberger harryz@cyberensure.com T- 410-259-0056","USA","English"
"Cybsec","www.cybsec.com","Argentina, Ecuador, Panama, Paraguay","PCI Contact contacto@cybsec.com T+54-11-4371-4444","LAC","English, Portuguese, Spanish"
"Dara Security","www.darasecurity.com","USA","Barry Johnson BarryJ@DaraSecurity.com T-775-622-5386","LAC, USA",""
"Dataprotect","www.dataprotect.ma","Morocco","Ali El Azzouzi T- 21-26607-40569 aelazzouzi@dataprotect.ma","Europe, CEMEA","Arabic, English, French, Spanish"
"Datassurant","www.datassurant.com","USA, Canada","Michael  La Barge pci@datassurant.com T- 800-724-8197","Asia Pacific, Canada, USA","English, German"
"Deiteriy Company Ltd.","www.deiteriy.com","Russia","Sergey Shustikov  Sergey.Shustikov@deiteriy.com T-7 (812) 361-61-55","Europe, CEMEA","English, Russian"
"Delap LLP","www.delapcpa.com","USA","David Buchanan dbuchanan@delapcpa.com T-1-503-974-5673","USA","English"
"Deloitte LLP","www.deloitte.ca","Canada","Simon Tang (Canada, LAC) stang@deloitte.ca T  416-601-6632","Canada","English, French, Hebrew, Spanish"
"Deloitte Tohmatsu Risk Services","www.tohmatsu.co.jp","Japan","Hiroshi Mochida hiroshi.mochida@tohmatsu.co.jp +81-3-6213-1300","Japan","English, Japanese"
"Digital Jewels Ltd.","www.digitaljewels.net","West Africa","Adedoyin Odunfa adedoyino@digitaljewels.net T-234-803-402-0504","CEMEA","English, French"
"Digital Security","www.dsec.ru","Russia","Andrew Gaiko a.gaiko@dsec.ru T- +7(495)223-0786","Europe, CEMEA","English, Russian"
"Dimension Data (Pty) Ltd.","www.dimensiondata.com","South Africa","Stephen Nel Stephen.Nel@dimensiondata.com T+27 11 5751639","CEMEA","Afrikaans, English, German"
"Dionach","www.dionach.com","UK","Rob Embers rob.embers@dionach.com T-44-1865-877830","Europe","English, Dutch, Italian, Spanish"
"DirectDefense","www.directdefense.com","USA","James Broome jbroome@directdefense.com T- +1-303-359-3954","USA","English"
"Dixon Hughes Goodman, LLP","www.dhgllp.com","USA","Alexander Douds alex.douds@dhgllp.com T-704-367-7026","Australia, Singapore, USA","English"
"DNV GL Business Assurance Korea Ltd.","www.dnvgl.com","Korea","JungHo Seo Jung.ho.seo@dnvgl.com pcidss.korea@dnvgl.com  qsa.korea@dnvgl.com  T+82-2-724-8406  Ros Oh (Singapore)  ros.oh@dnvgl.com T+65 9686 9802  Girija Somasekhara Panicker (India) rajeev.panicker@dnvgl.com T+91 9900026922 T+91 80 2308 1115","Asia Pacific","English, Korean"
"DotSec Pty Ltd","www.dotsec.com","Australia","Dr. Tim Redhead tim@dotsec.com T- 61-7-3221-2442","Australia","English"
"Easy Solutions, Inc.","www.easysol.net","USA","Ricardo Elena +1(866)524 4782 relena@easysol.net","LAC","English, Portuguese, Spanish"
"ECS Security Ltd.","www.ECSSecurity.co.uk","UK","Kelly Wingate HR@ecs.co.uk","Europe","English, Spanish"
"ECSC Ltd","www.ecsc.co.uk","England","Graham Boler Graham.Boler@ecsc.co.uk T-44-1274-736223","Europe","English"
"EFM Consulting Inc.","www.efmconsultinginc.com","USA","Martin Medina mmedina@efmconsultinginc.com T-+1-786-838-5711","LAC","English, Spanish"
"EKS&H LLLP","www.eksh.com","USA","Angela Appleby aappleby@EKSH.com T-303-846-3332","USA","English, German, Spanish"
"Encode SA","www.encodegroup.com","Europe","Kostas Kolokotronis K.Kolokotronis@encodegroup.com T-+30 210 6563880","Europe, CEMEA","Greek, English"
"Endava LTD","www.endava.com","UK","Adriana Calomfirescu Adriana.Calomfirescu@endava.com +40 722 545 887","CEMEA","English, Romanian, Russian"
"Enterprise Risk Management","www.emrisk.com","USA","Silka M. Gonzalez info@emrisk.com T  305- 447-6750","LAC, USA","English, Spanish, Hindi, Marathi, Portuguese, Greek"
"Eporedia","www.eporedia.co.uk","UK","Richard Marchlewski richard.marchlewski@eporedia.co.uk T - +44-871-7165574","Europe","English, French, Italian, Polish, Spanish"
"Ergonomics AG","www.ergonomics.ch","Switzerland","Daniel Linder  T +41 58 311 10 00 info@ergonomics.ch","Europe","English, French, German"
"Ernst & Young LLP (UK)","www.uk.ey.com","","Derek rose  drose@uk.ey.com T- +44(0)7469 033175","Europe","Chinese (Mandarin), English, French, Italian, Spanish"
"Ernst and Young LLP","www.ey.com","USA","Bryan Thompson Bryan.Thompson@ey.com T-+1 904-358-4527","USA","Chinese (Mandarin), English, French, Italian, Spanish"
"ES2 PTY LTD","www.es2.com.au","Australia","Ben Bassett ben@es2.com.au M: +61 467 608 918","Australia","English"
"Espion LTD","www.espiongroup.com","England, Ireland, Scotland","Igor Streharski pci@espiongroup.com T- 353-1-210 1711","Europe","English, French"
"Europoint Networking","www.europoint.se","Sweden","Bjorn Sjoholm bear@europoint.se T  46-705-220110","Europe","English, Swedish, Danish, German, Norwegian"
"Evolution Ltd.","www.evolve-online.com","Asia, UK","Ritchie Jeune(UK)  ritchieJ@evolve-online.com  T- 44 (0)845 481 8208  Joseph Lee (Asia)  josephl@evolve-online.com  +852 6770 5528","Asia Pacific, Europe","Cantonese, Dutch, English, Hindi, Mandarin, Punjabi"
"Experis Finance US LLC","www.experis.com","USA","Luis Porres pci.info@experis.com T - 973-775-8428","USA","English"
"F-Secure Cyber Security Services Oy","www.nsense.fi","Finland, Denmark","Joakim Sandstrom joakim.sandstrom@f-secure.com T: +358 9 2520 0700","Europe","English, Finnish, Swedish, Danish, Norwegian, Icelandic, Polish"
"FDH Consulting, LLC","www.fdhcpa.com","USA","Damon Work damon.work@formosconsulting.com T-615-383-6592","USA","English"
"Fidelis Cybersecurity Inc.","www.fidelissecurity.com","USA","Michael Harrington Michael.harrington@fidelissecurity.com T- 1-678-467-3566","USA","English, German, Romanian, Spanish, Turkish"
"FiveSec Labs Limited dba Five Security","www.fivesecurity.com","Ireland, France, UK","Laurent Benameur-Sauvaire (Europe) laurent@fivesecurity.com  T- +353 1 691 7938   Fabrice Brasile (France) fbrasile@fivesecurity.com  T- +33 1 70 61 83 32   Nicola Byrne (UK and Ireland) nbyrne@fivesecurity.com  T- +44 845 867 4166","Europe","English, French, German, Italian, Polish, Spanish"
"Focal Point Data Risk, LLC (formerly known as Sunera LLC)","focal-point.com/","Canada, UK, USA","Andrew Cannata acannata@focal-point.com T: 813-731-9074","USA","English"
"Foregenix Ltd.","www.foregenix.com","Greece, Romania, South Africa, Uruguay, Argentina, Brazil, Canada, Dubai, Russia, USA, UK, Germany","EUROPE pci-team@foregenix.com  T+44 845 309 6232  LAC pci-team@foregenix.com  T +54 9342 421 6688  	 USA AND CANADA  pci-team@foregenix.com  T +1 6179331737  CEMEA pci-team@foregenix.com  T+27 860 44 4461","Asia Pacific, CEMEA, LAC, USA, Europe","English, Italian, Spanish, Afrikaans, French, Greek, Guajarati, Hindi, Hungarian, Portuguese, Punjabi, Romanian, Russian, Urdu, Hebrew"
"Foresight IT Consulting Pty Ltd.","www.foresightconsulting.com.au","Australia","Peter Baussmann pbaussmann@foresightconsulting.com.au T: +61 43 430 5683","Asia Pacific","English"
"Foresite MSP, LLC","www.foresite.com/","England, USA","Jason LeDuc Jason.LeDuc@foresite.com 1 (732) 674-0871","LAC, USA","English"
"Forsythe Solutions","www.forsythe.com","USA","Matt Sickles msickles@forsythe.com (919) 854-3822","USA","English"
"FortConsult A-S","www.fortconsult.net","Denmark, Lithuania, Greece, Russia, Kazakhstan, Portugal","Lars Syberg (Europe) ls@fortconsult.net +370 652 55 795 Audrius Vizbaras (Baltics) audrius.vizbaras@fortconsult.net +370 655 43776  Zoja Antuchevic (Russia, Kazakstan, Ukraine) zoja.antuchevic@fortconsult.net +370 652 55 795","CEMEA, Europe","English, Danish, Lithuanian, Russian, Swedish, German, Greek, Romanian, Portuguese"
"Fortrex","www.fortrex.com","USA","Peter Spier spierp@fortrex.com T - 877-367-8739","USA","English"
"Fortytwo Security B.V.","www.fortytwo.nl","Netherlands","Sven Brouwer pci@fortytwo.nl T- 31-204232420","Europe","English, Dutch"
"Foundstone, Inc - A Division of McAfee","www.foundstone.com","USA","Paul Caloca consulting@foundstone.com 1-408-348-4873","Asia Pacific, Canada, Europe, LAC, USA","English, Arabic, Portuguese, Spanish"
"FPT Information System Corp.","www.fpt.com.vn","Vietnam","Le Tuan Diep E: DiepLT2@FPT.COM.VN T: +84 982 583 592","Vietnam","English, Vietnamese"
"Frazier & Deeter, LLC","www.frazierdeeter.com","USA","Mindy Regen mindy.regen@frazierdeeter.com T: +1-901-283-8814","USA","English"
"Freed Maxick CPAs","www.freedmaxick.com","USA","Larry Hessney  Larry.hessney@freedmaxick.com 585-721-1508","USA","English"
"FRSecure LLC","www.frsecure.com","USA","Kevin Orth korth@frsecure.com T-952-467-6381","USA","English"
"Fujitsu Limited","jp.fujitsu.com","Japan","Shigehisa Ichikawa T-81-3-6424-6655 Ichikawa-net@jp.fujitsu.com","Asia Pacific","Japanese"
"Galitt","www.galitt.com","France","Bruno Kovacs b.kovacs@galitt.com T-33 1 77 70 28 12","Europe","French, English, Portuguese"
"Galix Networking Pty. Ltd.","www.galix.com","South Africa","Simeon Tassev pci@galix.com T-27(0)114727157","CEMEA","English"
"Gaming Laboratories International, Inc.","www.gaminglabs.com","USA","Bill Higgins bhiggins@gaminglabs.com T+1 (506) 961-5566","Europe, USA","Armenian, Bosnian, Cantonese, Chinese, Croatian, French, German, Guajarati, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Mandarin, Marathi, Polish, Portuguese, Punjabi, Russian, Serbian, Spanish, Tagalog, Thai, Urdu, Vietnamese, Bulgarian, Farsi, Filipino, Hmong, Pashto, Laotian, Persian, Ilocano, Sinhala"
"Gemserv Limited dba Red Island","www.redisland.co.uk","UK","Ian Davis Ian.davis@redisland.co.uk +44 2070901087","USA, Europe","Dutch, English"
"Geobridge Corporation","www.GEOBRIDGE.net","USA","Laura Way lway@geobridge.net T  703.857.2102","USA","English"
