"company","website","type","place of business","primary contact","servicing markets","supported languages"
"Foregenix Ltd.","www.foregenix.com","QSA (P2PE), PA-QSA (P2PE)","UK, South Africa, Greece, Romania, Uruguay, Argentina, Brazil, Canada, Dubai, Russia, USA, Germany","EUROPE pci-team@foregenix.com  +44 845 309 6232   LAC pci-team@foregenix.com  +54 9342 421 6688            USA AND CANADA pci-team@foregenix.com  +1 6179331737   CEMEA pci-team@foregenix.com  +27 860 44 4461","Europe","English, Italian, Spanish, Afrikaans, French, Greek, Guajarati, Hindi, Hungarian, Portuguese, Punjabi, Romanian, Russian, Urdu, Hebrew"
"International Certificate Authority of Management System","www.icms.co.jp","QSA (P2PE)","Japan","Yoichi Ueno y-ueno@icms.co.jp +81-3-5719-7533","Asia Pacific","English, Japanese"
"K3DES, LLC","www.k3des.com","QSA (P2PE), PA-QSA (P2PE)","USA","Jim Richardson Jim.richardson@k3des.com +1 713-545-5867","USA","English"
"NCC Services Ltd","www.nccgroup.trust/uk/our-services/security-consulting/information-risk-management-and-governance/","QSA (P2PE), PA-QSA (P2PE)","England","Ben Jepson  Ben.Jepson@nccgroup.trust T  0161 209 5200","USA, Europe","English, Polish"
"NRI Secure Technologies LTD","www.nri-secure.co.jp/","QSA (P2PE)","Japan","Naoaki Suda suda@nri-secure.co.jp +81-3-6706-0608","Asia Pacific","English, Japanese"
"NTT Security Ltd.","www.ntt-security.com/","QSA (P2PE), PA-QSA (P2PE)","","Martin Petrov martin.petrov@ntt.ie  +352 691 505451","Europe","Bulgarian, Dutch, English, French, Italian, Lithuanian, Russian, Ukrainian"
"Payment Software Company (PSC)","www.paysw.com","QSA (P2PE), PA-QSA (P2PE)","Asia Pacific, Canada, Europe, UK, USA","Tony Bates tony@paysw.com Campbell CA USA","USA, Canada","English, French, Romanian, Spanish"
"Schellman & Company, LLC","www.schellmanco.com/","QSA (P2PE), PA-QSA (P2PE)","USA","Jacob Ansari pci@brightline.com 866.254.0000 ext 185","USA","English"
"SecuriCentrix","www.securicentrix.com","QSA (P2PE)","Ireland, South Africa","David Steele  david.steele@securicentrix.com  +27 21 300 2785 (S. Africa)  +353 1 901 0347 (Ireland)","CEMEA","English"
"SecurityMetrics, Inc.","www.securitymetrics.com","QSA (P2PE), PA-QSA (P2PE)","Europe, USA","Joe Rivest jrivest@securitymetrics.com 801-705-5619 North Orem UT United States","Asia Pacific, USA, Europe","English, Spanish"
"Sikich LLP","www.403labs.com","QSA (P2PE), PA-QSA (P2PE)","USA","D.J. Vogel djvogel@sikich.com  877.403.5227 17145J W. Bluemound Rd. Suite 200 Brookfield, Wisconsin 53005 United States","USA","English"
"SISA","www.sisa.co.in","QSA (P2PE), PA-QSA (P2PE)","USA, Saudi Arabia, Japan, Australia, China, New Zealand, India, Kuwait, Russia, South Africa, Hong Kong, Singapore, Philippines, Malaysia, Indonesia, Egypt, UAE, Bahrain, Oman, Qatar, Thailand, Vietnam, Morocco, Nepal, Sri Lanka, Azerbaijan, Bosnia-Herzegovina, Ethiopia, Georgia, Kenya, Mauritius, Myanmar, Tanzania, Uganda","Nitin (India, Sri Lanka, Nepal and Bangladesh) qsa@sisainfosec.com  +91-98208-85922   Sam (Asia Pacific) T: +65 3163 1024 E-mail: qsa@sisainfosec.com","Asia Pacific","Arabic, Bahasa Malaysia, Chinese, English, French, Japanese, Russian, Spanish"
"SRC Security Research & Consulting GmbH","www.src-gmbh.de","QSA (P2PE), PA-QSA (P2PE)","Europe","Thilo Pannen +49-(0)228-2806-103  pci@src-gmbh.de Germany","Europe","English, French, German, Polish, Russian, Turkish"
"Sysxnet Limited, dba Sysnet Global Solutions","www.sysnet.ie","QSA (P2PE), PA-QSA (P2PE)","Europe","Ian Wright  UK Ian.wright@sysnetgs.com +44 (0) 7557 262364  Kathy Colwell  Ireland Kathy.colwell@sysnetgs.com + 353 1 495 1300  Chris Thompson  Western Europe Chris.thompson@sysnetgs.com +44 (0)7899 877628","Europe","English"
"Trustwave Holdings, Inc.","www.trustwave.com","QSA (P2PE), PA-QSA (P2PE)","USA, UK, Korea, Sweden, Hungary, Japan, Australia, China, Brazil, New Zealand, India, France, South Africa, Lithuania, Netherlands, Hong Kong, Taiwan, Singapore, Philippines, Malaysia, Mexico, Colombia, UAE, Thailand, Vietnam, Pakistan, Nepal, Bangladesh, Sri Lanka, Macau, Mongolia","Johan Hagdahl (Global) P2PE@trustwave.com +46 763 497 942","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Afrikaans, Arabic, Cantonese, Danish, Dutch, English, French, German, Greek, Hindi, Hungarian, Italian, Japanese, Korean, Lithuanian, Mandarin, Norwegian, Polish, Portuguese, Russian, Spanish, Swedish, Taiwanese, Urdu"
"UL Transaction Security PTY Ltd.","www.ul.com","QSA (P2PE), PA-QSA (P2PE)","Australia","Mario Sist +61-3-9846-2751  Mario.Sist@ul.com Australia","Asia Pacific","Cantonese, Chinese (Mandarin), English, Japanese"
"usd AG","www.usd.de/pci","QSA (P2PE), PA-QSA (P2PE)","Germany","Christopher Kristes  pci@usd.de  T +49 6102 8631-90","Europe","English, French, German, Polish, Russain, Spanish"
"Verizon/CyberTrust","www.verizonbusiness.com","QSA (P2PE), PA-QSA (P2PE)","Europe, USA","Eric Jolent eric.jolent@at.verizon.com +43 1 727 14 8662","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Arabic, Cantonese, Chinese (Mandarin), Dutch, English, French, German, Indonesian, Italian, Korean, Malaysian, Romanian"

