"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
"12:51:58 LLC","","MWPOS","1.3.1","POS Face-to-Face/POI","Restaurants","10-08.00314.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","10 Feb 2011","28 Oct 2013","Trustwave Holdings, Inc.","MWPOS is a Linux-based payment application used to provide credit card authorization. The application is capable of performing card present credit transactions only. The application retains and encrypts (AES 256-bit) the PAN in a SQLite3 database post-authorization. MWPOS is sold as a whole system, including the software package and hardware registers and printers. The application is comprised of a MWPOS Cashless Module running in each register and MWPOS Cashless server running on the server. All components are meant to be installed within the customers internal network. MWPOS is not a web-based payment system and does not perform settlement and chargeback."
"2C2P Pte Ltd","www.2c2p.com","Host.Net","1.0.3.X","Payment Module","Card Issuing Member banks","16-01.01075.001","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","5 Oct 2017","28 Oct 2019","Trustwave Holdings, Inc.","2C2P Host.Net application is currently hosted at 2C2P datacentre and serves its issuer member banks  It is targeted to help issuer members at emerging markets to serve the needs of card issuing processing for prepaid, debit and closed-loop cards. The application can be hosted either at the customers' Datacenter or 2C2P's Datacenter. The application stores card detail (PAN, Expiry) in encrypted format. Member banks have access to the card issuing facility at 2C2P environment via IPSec, or via dedicated connectivity between the 2C2P datacentre and the member bank datacentre. Member banks can also use their own scheme networks (MasterCard, Visa and UPI) interface or use the scheme network of 2C2P."
"2C2P Pte Ltd","www.2c2p.com","PGW.Net","1.0.3.X","Payment Gateway/ Switch","E-Commerce Acquiring member banks","16-01.01075.002","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","12 Sep 2017","28 Oct 2019","Trustwave Holdings, Inc.","2C2P's PGW.Net Payment Gateway application is currently hosted at 2C2P's datacenter for its e-commerce merchants. The application is also able to be offered as licensed to the card scheme acquiring member and hosted at their datacentre. The application is also currently being used as a payment gateway service at acquiring member banks in the SEA region and as well as hosted at 2C2P environment to support e-commerce merchants in the AP region. Application stores card detail (PAN, Expiry) in encrypted format. However, merchant and system users can view only the masked information. The application does basic e-commerce online processing such as: Authorization, Pre-Authorization and Capture, Void, Inquiry, Settlement, Batch-upload, Inquiry and Refund, etc."
"365 Retail Markets, LLC","","SmartHUB Kiosk","2.0.3.26","POS Kiosk","Retail","13-07.00817.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","8 Apr 2014","28 Oct 2016","Sikich LLP","365 Retail Markets designs and implements turnkey, unattended, and highly automated MicroMarket self-checkout solutions, the  365SmartShop. 365 Retail Markets is the only MicroMarkets provider to allow customers to fully self-brand their markets. This  means that as an employer, clients can create a company themed MicroMarket to further emphasize their commitment to  providing employees with a market leading alternative to vending machines. At the heart of the 365SmartShop is the SmartHub  Kiosk payment center where the customer scans and pays for their items."
"365 Retail Markets, LLC","","SmartHUB Kiosk","2.0.3.26","POS Kiosk","Retail","13-07.00817.001.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","10 Mar 2015","28 Oct 2016","Sikich LLP","365 Retail Markets designs and implements turnkey, unattended, and highly automated MicroMarket self-checkout solutions, the  365SmartShop. 365 Retail Markets is the only MicroMarkets provider to allow customers to fully self-brand their markets. This  means that as an employer, clients can create a company themed MicroMarket to further emphasize their commitment to  providing employees with a market leading alternative to vending machines. At the heart of the 365SmartShop is the SmartHub  Kiosk payment center where the customer scans and pays for their items."
"365 Retail Markets, LLC","","SmartHUB Kiosk","2.0.5.0","POS Kiosk","Retail","13-07.00817.001.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Sikich LLP","365 Retail Markets designs and implements turnkey, unattended, and highly automated MicroMarket self-checkout solutions, the  365SmartShop. 365 Retail Markets is the only MicroMarkets provider to allow customers to fully self-brand their markets. This  means that as an employer, clients can create a company themed MicroMarket to further emphasize their commitment to  providing employees with a market leading alternative to vending machines. At the heart of the 365SmartShop is the SmartHub  Kiosk payment center where the customer scans and pays for their items."
"365 Retail Markets, LLC","","SmartHub Kiosk","2.0.6.1","POS Kiosk","Major, local, US-based merchants that range in size from single owners to large-sized organizations","16-07.00817.002","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","2 Nov 2017","28 Oct 2022","Sikich LLP","365 Retail Markets designed SmartHub Kiosk to be a turnkey, unattended, and highly automated kiosk. Customers scan and pay for items selected at MicroMarkets using the SmartHub Kiosk payment center."
"365 Retail Markets, LLC","","SmartHub Kiosk","2.0.6.3","POS Kiosk","Major, local, US-based merchants that range in size from single owners to large-sized organizations","16-07.00817.002.aaa","PA-DSS v3.2","Acceptable for New Deployments","13 Oct 2018","28 Oct 2022","Sikich LLP","365 Retail Markets designed SmartHub Kiosk to be a turnkey, unattended, and highly automated kiosk. Customers scan and pay for items selected at MicroMarkets using the SmartHub Kiosk payment center."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CIntegra","3.2.0.0","Payment Middleware","Hospitality, restaurants, parking, retail","09-02.00689.002","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","14 Dec 2010","28 Oct 2013","NCC","3CIntegra is a payment application for merchants within hospitality industry, parking, retail and restaurants. Its main functionality is payment authorisation although it comes as commercial off-the-shelf product whereby SCS provides the clients with the server running Linux OS and 3CIntegra installed. 3CIntegra communicates directly with SCS host within their PCI DSS compliant environment or with a number of other payment service providers. There are some additional functions, mainly in security area, such as host intrusion detection system, collation of logs and even monitoring of those when they are sent back to SCS. There is no GUI for the clients, it is rather seen as black box type of product as SCS does all configuration and maintenance."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CIntegra","3.2.0","Payment Middleware","Hospitality, Restaurants, Parking, Retail","12-02.00689.005","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","11 Oct 2016","28 Oct 2016","Advantio Limited","3CIntegra Hospitality is a fully-integrated payment service that enables to process credit and debit card payments directly through front office PMS and restaurant cash register software."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CIntegra","3.2.1.x","Payment Middleware","Hospitality, Restaurants, Parking, Retail","16-02.00689.007","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","30 Aug 2017","28 Oct 2019","Advantio Limited","3CIntegra is a fully-integrated payment service that enables to process credit and debit card payments directly through front office PMS and restaurant cash register software."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CIntegra","3.2.2.x","Payment Middleware","Hospitality, Restaurants, Parking, Retail","16-02.00689.007.aaa","PA-DSS v3.1","Acceptable for New Deployments","16 Aug 2018","28 Oct 2019","Advantio Limited","3CIntegra is a fully-integrated payment service that enables to process credit and debit card payments directly through front office PMS and restaurant cash register software."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CLink","1.0.4.8","Payment Middleware","Hospitality, Restaurants, Parking, Retail","12-02.00689.004","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Feb 2016","28 Oct 2016","Advantio Limited","3CLink provides connectivity and security between the 3CIntegra server  a separate and PA DSS validated application from SCS  and the EMV terminals or the integrators (such a term refers to any external hotel, restaurant, retail or parking subsystems)."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CLink","1.0.5.x","Payment Middleware","The target market is brick and mortar merchants.","16-02.00689.007","PA-DSS v3.2","Acceptable for New Deployments","16 Feb 2019","28 Oct 2022","Advantio Limited","3Clink is a small gateway/routing application used in order to provide connectivity and security, when it comes to the communication links between the 3CIntegra server (another 3C Payment PA-DSS validated payment application) and the EMV terminals or the integrators at a customer's site."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","Integra Terminal","1.0.0.x","POS Face-to-Face/POI","Hospitality, car rentals, retail and car parking facility operators","14-08.00689.006","PA-DSS v3.0","Acceptable only for Pre-Existing Deployments","15 Sep 2015","28 Oct 2019","Advantio Limited","Integra Terminal provides onsite payment acceptance capabilities to merchants and providers in the hospitality, retail, car parking and car rental industries. Integra Terminal runs within SRED-enabled PTS certified EMV terminal devices to support an uncompromising, powerful and modern payment solution designed to meet the needs of major retailers with stringent demands for efficiency and state-of-the-art technology."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","Integra Terminal","1.0.1.x","POS Face-to-Face/POI","Hospitality, car rentals, retail and car parking facility operators","14-08.00689.006.aaa","PA-DSS v3.0","Acceptable only for Pre-Existing Deployments","19 Dec 2016","28 Oct 2019","Advantio Limited","Integra Terminal provides onsite payment acceptance capabilities to merchants and providers in the hospitality, retail, car parking and car rental industries. Integra Terminal runs within SRED-enabled PTS certified EMV terminal devices to support an uncompromising, powerful and modern payment solution designed to meet the needs of major retailers with stringent demands for efficiency and state-of-the-art technology."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","Integra Terminal","1.1.0.x","POS Face-to-Face/POI","Hospitality, car rentals, retail and car parking facility operators.","16-08.00689.008","PA-DSS v3.2","Acceptable for New Deployments","20 Dec 2018","28 Oct 2022","Advantio Limited","Integra Terminal provides onsite payment acceptance capabilities to merchants and providers in the hospitality, retail, car parking and car rental industries. Integra Terminal runs within SRED-enabled PTS certified EMV terminal devices to support an uncompromising, powerful and modern payment solution designed to meet the needs of major retailers with stringent demands for efficiency and state-of-the-art technology."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","Integra Terminal","1.1.1.x","POS Face-to-Face/POI","Hospitality, car rentals, retail and car parking facility operators.","16-08.00689.008.aaa","PA-DSS v3.2","Acceptable for New Deployments","14 Sep 2018","28 Oct 2022","Advantio Limited","Integra Terminal provides onsite payment acceptance capabilities to merchants and providers in the hospitality, retail, car parking and car rental industries. Integra Terminal runs within SRED-enabled PTS certified EMV terminal devices to support an uncompromising, powerful and modern payment solution designed to meet the needs of major retailers with stringent demands for efficiency and state-of-the-art technology."
"3C Payment Luxembourg S.A.","www.3cpayment.com/","3CIntegra","3.2.0.3","Payment Middleware","Hospitality, Restaurants, Parking, Retail","11-02.00689.003","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Apr 2012","28 Oct 2013","Advantio Limited","3CIntegra is a payment application for merchants within hospitality industry, parking, retail and restaurants. Its main functionality is payment authorisation although it comes as commercial off-the-shelf product whereby SCS provides the clients with the server running Linux OS and 3CIntegra installed. 3CIntegra communicates directly with SCS host within their PCI DSS compliant environment or with a number of other payment service providers. There are some additional functions, mainly in security area, such as host intrusion detection system, collation of logs and even monitoring of those when they are sent back to SCS. There is no GUI for the clients, it is rather seen as black box type of product as SCS does all configuration and maintenance."
"3M Company","www.3m.com/","3M Selfcheck Self-Pay","1.0","POS Specialized","3M's application SelfCheck SelfPay is used by libraries.","14-11.00051.004","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","24 Jul 2016","28 Oct 2016","NetSPI","The 3M SelfCheck Self-Pay is an application that facilitates credit card payments between the 3M SelfCheck System and ICVERIFY software."
"3M Company","www.3m.com/","3M Selfcheck Self-Pay","1.1","POS Specialized","3M's application SelfCheck SelfPay is used by libraries.","14-11.00051.004.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","5 Sep 2016","28 Oct 2016","NetSPI","The 3M SelfCheck Self-Pay is an application that facilitates credit card payments between the 3M SelfCheck System and ICVERIFY software."
"3M Company","www.3m.com/","3M Selfcheck Self-Pay","1.2","POS Specialized","3M's application SelfCheck SelfPay is used by libraries.","14-11.00051.004.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","18 Aug 2016","28 Oct 2016","Coalfire Systems, Inc","The 3M SelfCheck Self-Pay is an application that facilitates credit card payments between the 3M SelfCheck System and ICVERIFY software."
"3M Company","www.3m.com/","Element FMS","1.2","POS Face-to-Face/POI","The Element FMS payment application is targeted to clientele with paid parking facilities. Typical installations include Airports, Municipalities, Hospitals, Colleges and Universities.","12-08.00051.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","7 Mar 2015","28 Oct 2016","Coalfire Systems, Inc","The Federal APD Inc. Element FMS is an integrated modular application designed to allow customers to configure, control and report upon their parking and ground transportation facility. The payment application takes payment card payments for pay parking lot customers. The application processes, stores and transmits that data to payment processors."
"3M Company","www.3m.com/","Element FMS","1.2.2","POS Face-to-Face/POI","The Element FMS payment application is targeted to clientele with paid parking facilities. Typical installations include Airports, Municipalities, Hospitals, Colleges and Universities.","12-08.00051.003.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","15 Jan 2016","28 Oct 2016","Coalfire Systems, Inc","The Federal APD Inc. Element FMS is an integrated modular application designed to allow customers to configure, control and report upon their parking and ground transportation facility. The payment application takes payment card payments for pay parking lot customers. The application processes, stores and transmits that data to payment processors."
"3M Company","www.3m.com/","Element FMS","1.2.3","POS Face-to-Face/POI","The Element FMS payment application is targeted to clientele with paid parking facilities. Typical installations include Airports, Municipalities, Hospitals, Colleges and Universities.","12-08.00051.003.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","21 Jan 2016","28 Oct 2016","Coalfire Systems, Inc","The Federal APD Inc. Element FMS is an integrated modular application designed to allow customers to configure, control and report upon their parking and ground transportation facility. The payment application takes payment card payments for pay parking lot customers. The application processes, stores and transmits that data to payment processors."
"3M Company","www.3m.com/","Element FMS","1.2.4","POS Face-to-Face/POI","The Element FMS payment application is targeted to clientele with paid parking facilities. Typical installations include Airports, Municipalities, Hospitals, Colleges and Universities.","12-08.00051.003.caa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","3 Apr 2016","28 Oct 2016","Coalfire Systems, Inc","The Federal APD Inc. Element FMS is an integrated modular application designed to allow customers to configure, control and report upon their parking and ground transportation facility. The payment application takes payment card payments for pay parking lot customers. The application processes, stores and transmits that data to payment processors."
"3M Company","www.3m.com/","ScanNet","6.1.0","Payment Back Office","For Federal APD\'s parking and physical access products","08-04.00051.001","PABP 1.3","Acceptable only for Pre-Existing Deployments","2 Dec 2010","2 Jun 2010","Coalfire Systems, Inc","ScanNet is the back office application that provides authorization, settlement, reporting and management functionality for Federal APD?s parking and physical access solutions."
"3M Company","www.3m.com/","ScanNet","6.2","POS Kiosk","Parking Facilities","13-07.00051.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","7 Nov 2015","28 Oct 2016","Coalfire Systems, Inc","ScanNet is the back-office application that provides the authorization, settlement, reporting, and management functionality for 3M's parking and physical access control solutions. The front end consists of many types of proprietary Customer Interface Devices (CIDs) that include ticket/ticket-less entry/exit devices, automated pay stations, and POS swipe terminals (among others). In all cases, the CIDs fall into one of two cases for credit card transactions: Either they pass the card data (over private cabling via IP or serial connection) to the back-office ScanNet server, or they use a direct dial terminal connection."
"3M Company","www.3m.com/","ScanNet","6.2","Payment Back Office","Parking lot operators","10-04.00051.002","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","15 Sep 2013","28 Oct 2013","Coalfire Systems, Inc","ScanNet is the back-office application that provides the authorization, settlement, reporting, and management functionality for Federal APD's parking and physical access control solutions. The front end consists of many types of proprietary Customer Interface Devices (CIDs) that include ticket/ticket-less entry/exit devices, automated pay stations, and POS swipe terminals (among others). In all cases, the CIDs fall into one of two cases for credit card transactions: Either they pass the card data (over private cabling via IP or serial connection) to the back-office ScanNet server, or they use a direct dial terminal connection."
"42 GmbH","www.42-gmbh.de","Matrix POS","3.914","POS Face-to-Face/POI","Gastronomy and hotel industry","10-08.00179.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","5 Jan 2011","28 Oct 2013","usd AG","Matrix POS is a powerful and innovative software package for the hospitality market and covers all areas of the hotel and restaurant business with its flexible and modular design."
"4D Payments","","4D Payments Gateway","16.X.X","Payment Middleware","POS Application Developers","17-02.01135.001","PA-DSS v3.2","Acceptable for New Deployments","22 Sep 2018","28 Oct 2022","K3DES, LLC","Payment Gateway is middleware for other payment applications. Its purpose is to receive transactions from another payment application, format the transaction details in a manner required by the supported payment processor, and then communicate the transaction to the processor."
"911 Software, Inc.","www.911software.com","911 Software CreditLine Secure","4.1","Payment Middleware","Payment Processing Application, Point of Sale, Hospitality, Retail, eCommerce, MOTO, Hotel, and Restaurant","09-02.00161.002","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Sikich LLP","Payment processing client server application and engine accepting credit cards, debit cards, loyalty cards, gift certificates, private label cards, ACH checks, and other types of payments.  UI, API, and command line driven."
"911 Software, Inc.","www.911software.com","CreditLine","3.00.04","Payment Middleware","","08-02.00161.001","Prior to PABP 1.3","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Dec 2009","Sikich LLP","Middleware payment processing that offers multiple forms of inputs for processing (virtual terminal, API, COM, batch, POS Terminal, and ASP input forms)"
"911 Software, Inc.","www.911software.com","CreditLine","4.1 SP3 Build 1186","Payment Middleware","Hospitality, Restaurant, Middleware","13-02.00161.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Sikich LLP","CreditLine 4.1 SP3 Build 1186 (CreditLine), a payment application that accepted and transmitted cardholder data as part of authorization and settlement. 911 Software distributed CreditLine to hospitality services, food service clientele, and front-end POS vendors as middleware. 403 Labs reviewed CreditLine functionality for all transaction types and card data interactions, including transaction acceptance and forwarding, error handling, interaction with other components and networks, encryption, authentication and logging"
"911 Software, Inc.","www.911software.com","CreditLine","4.1.3 SPxx","Payment Middleware","Hospitality, Restaurant, Middleware","16-02.00161.004","PA-DSS v3.1","Acceptable for New Deployments","18 Aug 2018","28 Oct 2019","Dara Security","A payment application that accepts and transmits cardholder data as part of authorization and settlement. 911 Software distributes CreditLine to hospitality services, food service clientele, and front-end POS vendors as middleware"
"Abila, Inc.","","netFORUM Enterprise","2011.01","Card-Not-Present","The target clientele for this payment application is association type organizations which have dues payment members and which also sell merchandise for additional revenue. The typical client is a not","12-10.00682.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","7 Jun 2013","28 Oct 2016","Coalfire Systems, Inc","Avectra's netFORUM Enterprise is an Association Management, web based (shopping cart) application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form and is typically card number and CVV are entered into the application by an association employee. Purchases may also be made over the internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2011.02","Card-Not-Present","Association Organizations","13-10.00682.002","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","24 Apr 2015","28 Oct 2016","Coalfire Systems, Inc","Avectra's netFORUM Enterprise is a web based (shopping cart), Association Management application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form and is typically entered into the application by an association employee. Purchases may also be made over the internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2011.03","Card-Not-Present","Association Organizations","13-10.00682.002.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","17 Apr 2016","28 Oct 2016","Coalfire Systems, Inc","Avectra's netFORUM Enterprise is a web based (shopping cart), Association Management application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form and is typically entered into the application by an association employee. Purchases may also be made over the internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2013.01","Card-Not-Present","Association Organizations","14-10.00682.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Feb 2015","28 Oct 2016","Coalfire Systems, Inc","Avectra's netFORUM Enterprise is a web based (shopping cart), Association Management application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form and is typically entered into the application by an association employee. Purchases may also be made over the internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2013.02","Card-Not-Present","Association Organizations","14-10.00682.003.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","14 Apr 2016","28 Oct 2016","Coalfire Systems, Inc","Avectra's netFORUM Enterprise is a web based (shopping cart), Association Management application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form and is typically entered into the application by an association employee. Purchases may also be made over the internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2014.01.*","Card-Not-Present","Association Organizations","15-10.00682.004","PA-DSS v3.0","Acceptable for New Deployments","8 Jun 2018","28 Oct 2019","Coalfire Systems, Inc","Abila's netFORUM Enterprise is a web based (shopping cart), Association Management application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form and is typically entered into the application by an association employee. Purchases may also be made over the internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2017.01.xx","POS Suite/General","Association Organizations","17-01.00682.005","PA-DSS v3.2","Acceptable for New Deployments","22 Sep 2018","28 Oct 2022","Dara Security","netFORUM Enterprise is an Association Management, web based application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form accepting the manual entry of the card number and CVV.   Payment information may be entered by an association employee or over the Internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2015.01.xx","POS Suite/General","Association Organizations","17-01.00682.006","PA-DSS v3.2","Acceptable for New Deployments","22 Sep 2018","28 Oct 2022","Dara Security","netFORUM Enterprise is an Association Management, web based application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form accepting the manual entry of the card number and CVV. Payment information may be entered by an association employee or over the Internet by an association member for merchandise, pay membership dues, etc. via their membership number."
"Abila, Inc.","","netFORUM Enterprise","2013.02.xx","POS Suite/General","Association Organizations","17-01.00682.007","PA-DSS v3.2","Acceptable for New Deployments","5 Oct 2018","28 Oct 2022","Dara Security","netFORUM Enterprise is an Association Management, web based application for the payment of membership dues, event registrations, merchandise sales and other sources of revenue for an association. The payment application accepts only card not present payments via a browser based form accepting the manual entry of the card number and CVV. Payment information may be entered by an association employee or over the Internet by an association member for merchandise, pay membership dues, etc. via their membership number."
