"company","website","place of business","primary contact","servicing markets","supported languages"	
"ControlCase, LLC","www.controlcase.com","Dubai, India, Kuwait, USA, Canada, Colombia","Kishor Vaswani (USA)  kvaswani@controlcase.com  T - +1.703.483.6383   Erik Winkler (United Kingdom) ewinkler@controlcase.com T - +44 (0) 7469249831  Kim Simon (Canada) ksimon@controlcase.com T  1 416 900 1272  Andres Gutierrez (Colombia/Latin America)  agutierrez@controlcase.com  T: +57-13816834  Suresh Dadlani (Asia Pacific &amp; CEMEA)  sdadlani@controlcase.com  T: +91-22-71279034      Afy Merchant (UAE, GCC)  amerchant@controlcase.com  T - +971.508.760.981   Nobuyuki Yagi (Japan)  nyagi@controlcase.com  +81-3-4321-5504   Sizka Ferawati (Indonesia) sferawati@controlcase.com T - +62 8131 9918 179 Rukman Suriawarsita (Indonesia)  rsuriawarsita@controlcase.com  T: +62-21-51111817  Mostafa Ibrahim (Egypt)  mibrahim@controlcase.com  T: +20168843998   Tran Ha Quynh Dao (Vietnam, Cambodia &amp; Laos)  dao@controlcase.com  T : (+84) 979 710 906   Timal Jayamanne (Sri Lanka, Nepal, Maldives, Myanmar)  tjayamanne@controlcase.com  T +94777377107   Mitch Mascardo (Manila, Philippines)  mmascardo@controlcase.com  T: +63.2.7591445      Karolien Holsters (Netherlands, Belgium, Spain, France, Luxembourg) kholsters@controlcase.com  Netherlands : +31-858887600  Belgium : +32-78480234  Spain: +34-911238404  France: +33-975181681  Luxemburg: +352-20881406   Biju John (Kuwait)  bjohn@controlcase.com  +965.99768639   Stevie Heong (Malaysia)   sheong@controlcase.com +60.392121712   Kleber Melo (Brazil)  kmelo@controlcase.com  T: +55.1135005856","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Arabic, English, Japanese, Spanish, Hindi, Korean, Russian"
"CQR Consulting Australia PTY","www.cqrconsulting.com","Australia","Alex Hoffmann pci@cqrconsulting.com Telephone: + 61-8-8364-5881","Asia Pacific","English"
"Crossbow Labs LLP","www.crossbowlabs.com","India","Suryaji Bhosale suryaji.bhosale@crossbowlabs.com T-91-9535579519","Asia Pacific","English, Hindi, Malyalam, Marathi, Tamil"
"Cybsec","www.cybsec.com","Argentina, Ecuador, Panama, Paraguay","PCI Contact contacto@cybsec.com Tel: +54-11-4371-4444.","LAC","English, Portuguese, Spanish"
"Dara Security","www.darasecurity.com","USA","Vallery LaBarre valleryl@darasecurity.com T-775-622-5386","USA","English"
"Dataprotect","www.dataprotect.ma","Morocco","Ali El Azzouzi T- 21-26607-40569 aelazzouzi@dataprotect.ma","Europe, CEMEA","Arabic, English, French, Spanish"
"Datassurant","www.datassurant.com","Canada, USA","Michael La Barge pa-dss@datassurant.ca (Canada) 800-930-5461  Michael La Barge pa-dss@datassurant.com (USA) 800-724-8197","USA, Canada","English, French, German, Spanish"
"Deiteriy Company Ltd.","www.deiteriy.com","Russia","Sergey Shustikov sergey.shustikov@deiteriy.com +7 (812) 361-61-55","CEMEA","English, Russian"
"Digital Security","www.dsec.ru","Russia","Andrew Gaiko a.gaiko@dsec.ru T- +7(495)223-0786","CEMEA","English, Russian"
"Dionach","www.dionach.com","UK","Bil Bragg bil.bragg@dionach.com T +44 1865 877830","Europe","Dutch, English, Italian, Spanish"
"DirectDefense","www.directdefense.com","USA","James Broome jbroome@directdefense.com T- +1-303-359-3954","USA","English"
"Europoint Networking","www.europoint.se","Sweden","Björn Sjöholm +46 705 220110 bear@europoint.se","Europe","English, Danish, German, Norwegian, Swedish"
"FiveSec Labs Limited dba Five Security","www.fivesecurity.com","France, Ireland, UK","Laurent Benameur-Sauvaire (Europe) laurent@fivesecurity.com  T- +353 1 691 7938  Fabrice Brasile (France) fbrasile@fivesecurity.com  T- +33 1 70 61 83 32  Nicola Byrne (UK and Ireland) nbyrne@fivesecurity.com  T- +44 845 867 4166","Europe","English, French, German, Italian, Polish, Spanish"
"Foregenix Ltd.","www.foregenix.com","UK, Greece, Romania, South Africa, Uruguay, Argentina, Brazil, Canada, Dubai, Russia, USA, Germany","EUROPE pci-team@foregenix.com  +44 845 309 6232  LAC pci-team@foregenix.com  +54 9342 421 6688   USA AND CANADA pci-team@foregenix.com  +1 6179331737  CEMEA pci-team@foregenix.com  +27 860 44 4461","Europe, LAC, CEMEA","English, Italian, Spanish, Afrikaans, French, Greek, Guajarati, Hindi, Hungarian, Portuguese, Punjabi, Romanian, Russian, Urdu, Hebrew"
"FortConsult A-S","www.fortconsult.net","Denmark, Australia, Greece, Lithuania, Russia, Singapore","Lars Syberg (Europe)  ls@fortconsult.net +45 70207525  Audrius Vizbaras (Baltics)  audrius.vizbaras@fortconsult.net +370 65 5 43776  Zoja Antuchevic (Russia, Kazakstan, Ukraine) zoja.antuchevic@fortconsult.net +370 652 55 795","CEMEA, Europe, Asia Pacific","English, Afrikaans, Danish, Dutch, German, Greek, Russian, Swedish, Romanian"
"Fortrex","www.fortrex.com","USA","Peter Spier spierp@fortrex.com 1-877-Fortrex","USA","English"
"Informzaschita","www.infosec.ru","Russia","Ekaterina Kossova pcidss@infosec.ru + 7 495 980 2345 (ext.775)","CEMEA","Russia, English"
"Insside Information Inteligente SRL","www.insside.net","Argentina, Chile","Martin Jose Lambertucci mjl@insside.net T- 00-54-11-4312-4204 (Argentine) T- 00-56-22-586-0980 (Chile)","LAC","Spanish, English, Portuguese"
"Internet Security Auditors","www.isecauditors.com","Spain, Colombia","Daniel Fernandez (Bogotá, Colombia - LAC &amp; USA)  pci@isecauditors.com  +57 (1) 638 68 88   Carmen Areces (Madrid, Spain)  pci@isecauditors.com  +34 91 763 40 47   Antoni Nicolas (Barcelona, Spain)  pci@isecauditors.com  +34 93 305 13 18","LAC, Europe","English, Spanish, Catalan, Portuguese"
"Intersec Worldwide","www.intersecworldwide.com","USA","Mikken Tutton pci@intersecworldwide.com T-949-270-0504","USA","English, Portuguese, Spanish"
"Jet Infosystems","www.jet.msk.su","Russia","Alexey Kupriyanov pci-dss@jet.su +7 (495) 411-7601","CEMEA","English, Russian"
"K3DES, LLC","www.k3des.com","USA","Jim Richardson Jim.richardson@k3des.com +1 713-545-5867","Asia Pacific, USA, Canada","English"
"Kima Projects & Services","www.kimaps.com","Italy","Mauro Bregolin Mauro.bregolin@kimaps.com -8404185","Europe","English, Italian"
"Megaplanit, LLC","www.megaplanit.com","USA","Frank Nudo  fnudo@megaplanit.com  T-1-224-944-1488","USA","English"
"Mnemonic","www.mnemonic.no","Scandinavia, Denmark, Norway, Sweden","Kare Presttun pci@mnemonic.no T  47-410-04-908","Europe","English, Norwegian, Swedish"
"NCC Services Ltd","www.nccgroup.trust/uk/our-services/security-consulting/information-risk-management-and-governance/","England","Ben Jepson Ben.Jepson@nccgroup.trust +44 (0) 161 209 5200","Asia Pacific, Europe","English, Guajarati, Polish"
"Nettitude Ltd.","www.nettitude.com","UK, USA","Peter O'Sullivan pci@nettitude.com T: +44 7850 776278","Europe","Cantonese, English, Polish"
"Nexusguard Consulting Limited","www.nexusguard.com","Hong Kong, China, Indonesia, Malaysia, Philippines, Singapore, Taiwan, Thailand, Macau","pci@nexusguard.com +852 3188 5750","Asia Pacific","Cantonese, English, Hokkien, Indonesian, Japanese, Malaysian, Mandarin, Taiwanese"
"Nixu Corporation","www.nixu.com","Finland","Pekka Viitasalo Pekka.viitasalo@nixu.com +358 594 1516","Europe","English, Finnish, Swedish"
"NRI Secure Technologies LTD","www.nri-secure.co.jp","Japan","Jun Yano yano@nri-secure.co.jp +81 3 6274 2765","Asia Pacific","Japanese, English"
"NTT Data Intellilink Corporation","www.intellilink.co.jp/","Japan","Yo Ikeya  ikeyayo@intellilink.co.jp +81 3 5859 5428","Asia Pacific","Japanese"
"NTT Security Ltd.","www.advantio.com","Ireland, Lithuania, Ukraine, France, Italy, Luxembourg, UK","Martin Petrov contact@advantio.com T: +353 (0)1 5065556","Europe","English, Italian, Ukranian, Bulgarian, French, Russian, Dutch, Lithuanian, Persian"
"Optiv Security Inc.","www.optiv.com","USA","Justin George Info@optiv.com T- (866) 729-7707","USA","English"
"Payment Software Company (PSC)","www.paysw.com","Asia Pacific, Europe, USA, Canada, UK","Tony Bates  (USA, Canada, LAC, Asia Pacific) tony@paysw.com T +1-408-228-0961 x104  Colin Clark  (UK, Europe, CEMEA) colin@paysw.com T +44 1753 727 066","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","English, French, Romanian, Spanish"
"Protiviti","www.protiviti.com","USA","Jeffrey Sanchez Jeffrey.Sanchez@protiviti.com T-213-327-1433","USA","English, German, Russian, Spanish"
"Risk Associates Europe Ltd.","www.riskassociates.com.au","UAE, Australia, Pakistan, Saudi Arabia, Vietnam","Aftab Rizvi Aftab.rizvi@riskassociates.com.au T- 61-417-023-037","CEMEA, Asia Pacific","English, Mandarin, Urdu, Vietnamese"
"RSM US LLP","www.rsmmcgladrey.com","USA","Andrew Weidenhamer 703.336.6572 Andrew.weidenhamer@rsmus.com","USA","English"
"SC2Labs","www.sc2labs.com","Poland","Grzegorz Lendecki  greg.landecki@sc2labs.com  T-48-666-383-015","Europe","English, German, Polish"
"Schellman & Company, LLC","https://www.schellmanco.com/","USA","Jacob Ansari pci@brightline.com 866.254.0000 ext 185","USA","English"
"SecuriCentrix","www.securicentrix.com","Ireland, South Africa","David Steele David.steele@securicentrix.com +27 21 300 2785 (S. Africa) +353 1 901 0347 (Ireland)","CEMEA","English"
"Securisea, Inc.","www.securisea.com","USA","Josh Daymont joshd@securisea.com","USA","English"
"Security Risk Management","www.srm-solutions.com","Europe","Brian Fenwick Brian.Fenwick@srm-solutions.com T- +44 (0)3450 21 21 51","Europe","English, Greek"
"SecurityMetrics, Inc.","www.securitymetrics.com","Europe, USA","Sherry Ferguson (LAC, USA) sales@securitymetrics.com 801-705-5656 Ian Eyles (Europe) ieyles@securitymetrics.com T: +44 (0) 7912 757951","Europe, USA, Canada","English, Spanish"
"Sikich LLP","www.403labs.com","USA, LAC","Brad Lutgen blutgen@403labs.com +1 877 403 5227 ext. 14","USA","English, Spanish, Portuguese, French, German"
"SISA","www.sisainfosec.com","Bahrain, Kuwait, Australia, China, Egypt, Hong Kong, India, Indonesia, Japan, Malaysia, Morocco, Nepal, New Zealand, Oman, Philippines, Qatar, Russia, Saudi Arabia, Singapore, South Africa, Sri Lanka, Thailand, UAE, USA, Vietnam, Azerbaijan, Bosnia-Herzegovina, Georgia, Kenya, Tanzania, Uganda, Mauritius, Myanmar, Ethiopia","Deep (USA, Canada and LAC) T: +1-408-412-5476 E-mail: qsa@sisainfosec.com   Harvey (Europe) T: +44-20-3874-1591 E-mail: qsa@sisainfosec.com   Yogesh (GCC and Middle East) T: qsa@sisainfosec.com  E-mail: +973-3233-3856  Nitin (India, Sri Lanka, Africa, Nepal and Bangladesh) qsa@sisainfosec.com  +91-98208-85922   Sam (Asia Pacific) T: +65 3163 1024 E-mail: qsa@sisainfosec.com","CEMEA, Europe, USA, Asia Pacific","English, Chinese, Japanese, Arabic, Bahasa Malaysia, Spanish, French, Russian"
"SRC Security Research & Consulting GmbH","www.src-gmbh.com","Europe","Thilo Pannen Thilo.pannen@src-gmbh.de +49 (0) 228 2806 103","Europe","English, French, Russian, Polish, German, Turkish"
"Sysxnet Limited, dba Sysnet Global Solutions","www.sysnetgs.com","Europe","Ian Wright  UK Ian.wright@sysnetgs.com +44 (0) 7557 262364  Chris Thompson  Western Europe Chris.thompson@sysnetgs.com +44 (0)7899 877628  Krzysztof Olejniczak Central and Eastern Europe krzysztof.olejniczak@sysnetgs.com +48 662 395 468  Duncan Du Plessis, Middle East and Africa  duncan.duplessis@sysnetgs.com  +27 (0)83 629 7514  Parminder Lall India and Middle East Parminder.lall@sysnetgs.com +44 (0)7432 730425  Corrie Goosen  Africa Corrie.goosen@sysnetgs.com +27 (0)72 671 5129  Ashvin Dookhee  Mauritius and Indian Ocean Ashvin.dookhee@sysnetgs.com +230 5252 4708  Jeff Montgomery  USA and The Americas jeff.montgomery@sysnetgs.com, +1 (214) 659 1434","CEMEA, USA, Europe","English"
"Tevora Business Solutions, Inc.","www.tevora.com","USA, Brazil","Ray Zadjmool cisp@tevora.com 949-250-3290 x11","LAC, USA","English"
"Trustwave Holdings, Inc.","www.trustwave.com","Australia, Brazil, China, Colombia, France, Hungary, Hong Kong, India, Japan, Lithuania, Mexico, Netherlands, South Africa, Sweden, UAE, UK, USA, Bangladesh, Korea, Macau, Malaysia, Mongolia, Nepal, New Zealand, Pakistan, Philippines, Singapore, Sri Lanka, Taiwan, Thailand, Vietnam","infosales@trustwave.com (Europe, Middle East, Africa) T +44 (0) 845 456 9611  infosales@trustwave.com (Latin America)  T +55 (11) 4064-6101  infosales@trustwave.com (USA and Canada)  T 1 (888) 878-7817  infosales@trustwave.com (India + Sub continent) T: +91 22 4090 7358  infosales@trustwave.com (Southeast Asia) T: +65 6823.1516  infosales@trustwave.com (Australia &amp; New Zealand) T: +61 2 9236 4200  infosales@trustwave.com (North Asia) T: +852 2251 8924","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Afrikaans, Arabic, Cantonese, Danish, Dutch, English, French, German, Greek, Hindi, Hungarian, Italian, Japanese, Korean, Lithuanian, Mandarin, Norwegian, Polish, Portuguese, Russian, Spanish, Swedish, Taiwanese, Urdu"
"TUV SUD Sec-IT GmbH","www.tuev-sued.de","Germany, Switzerland","Mr. Peter Sakal  pci@tuev-sued.de T-49-711-787464-0","Europe","English, German"
"Ubitrak","www.ubitrak.com","Canada","Christian Richard  crichard@ubitrak.com T-1-514-999-9657","USA, Canada","English, French Canadian"
"UL Transaction Security PTY Ltd.","www.withamlabs.com","Australia","Mario Sist Mario.Sist@ul.com +61 3 98 46 2751","Europe, Asia Pacific","English, Chinese (Mandarin), Cantonese, Japanese"
"usd AG","www.usd.de","Germany","Christopher Kristes pci@usd.de T +49 6102 8631-90","Europe","English, German, French, Polish, Russian, Spanish"
"Vectra Corporation Ltd.","www.vectra-corp.com","Singapore, Australia, New Zealand","Eugene Chai Yenyend (Singapore) Eugene.chai@vectra-corp.com  65-6224-2162 Mike Ryan (Australia) Mike.Ryan@vectra-corp.com  61-8-8208-0800","Asia Pacific","English"
"Verizon/CyberTrust","www.verizonbusiness.com","USA, Europe","Eric Jolent eric.jolent@at.verizon.com +43 1 727 14 8662","Asia Pacific, CEMEA, Canada, Europe, USA","Arabic, Cantonese, Dutch, English, French, German, Indonesian, Italian, Korean, Malaysian, Chinese (Mandarin), Romanian"
"Yusufali & Associates LLC","www.ya-cpa.com","USA","Yusuf Musaji T-973-985-6169 ymusaji@ya-cpa.com","USA","English"

